kit,group,count
ZYMO,Never amplified,0
ZYMO,Amplified with troubleshooting,1
ZYMO,Amplified first attempt,10
Q.PSP,Never amplified,0
Q.PSP,Amplified with troubleshooting,3
Q.PSP,Amplified first attempt,8
Q.PSO,Never amplified,1
Q.PSO,Amplified with troubleshooting,4
Q.PSO,Amplified first attempt,6
Q.BTQ,Never amplified,0
Q.BTQ,Amplified with troubleshooting,2
Q.BTQ,Amplified first attempt,9
Q.BT,Never amplified,0
Q.BT,Amplified with troubleshooting,4
Q.BT,Amplified first attempt,7
