OTU,BT1,BT10,BT11,BT12,BT2,BT3,BT4,BT5,BT6,BT7,BT8,BT9,BTQ1,BTQ10,BTQ11,BTQ12,BTQ2,BTQ3,BTQ4,BTQ5,BTQ6,BTQ7,BTQ8,BTQ9,PCRNeg,PSO1,PSO10,PSO11,PSO12,PSO2,PSO4,PSO5,PSO6,PSO7,PSO8,PSO9,PSP1,PSP10,PSP11,PSP12,PSP2,PSP3,PSP4,PSP5,PSP6,PSP7,PSP8,PSP9,ZYMO1,ZYMO10,ZYMO11,ZYMO12,ZYMO2,ZYMO3,ZYMO4,ZYMO5,ZYMO6,ZYMO7,ZYMO8,ZYMO9
2f0c1794fa7984c87f8e09c64ebee66e,47,0,0,0,0,0,0,0,0,0,0,0,52,51,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,44,0,0,0,43,0,0,0
71d6c688a76de4926a96273c2a224c48,0,0,0,0,31,0,0,0,0,0,0,0,22,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,59,0,0,68,0,0,0,0
ba701dc64bafd73e1e589d0bdc412f22,0,18,0,0,0,0,36,0,0,8,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,0,0,0,69,0,16,0,0,0,0,0,0,0,0,0,0
d70bd4fa66faf4c165a496e64e842d70,96,88,0,0,74,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,29,0,0,0,47,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,129,43,0,0,14
4821d1ed04a8731e401707d5681a2082,28,0,0,0,80,0,0,55,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,21,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
ce169508b38481a3f5b4722affbb54a7,0,0,0,0,24,0,19,0,0,0,0,0,0,0,0,0,6,0,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,68,35,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,22,0,0,38,0,0,0,0
ee0bdca172d19539cadf155ceb56777e,50,244,0,0,492,0,94,746,44,329,0,0,150,177,0,0,482,434,490,326,0,0,48,0,0,0,339,0,0,0,0,457,0,264,73,468,492,330,30,0,146,0,41,771,155,64,0,0,77,372,0,0,410,112,127,674,352,102,77,112
7772ba10d6e69a0673056a9a893a6b8a,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a6c2ec831fdd39bfa2c7ee748354f2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,25,0,0,0,0,32,0,0,0,115,0,0,0,0,0,0,0,32,0,0,0,0,0,44,0,0,41,0,0,31,0,0,8,0
f2673a3a04d38fa5c1945a54be3603ae,0,0,0,52,0,0,43,0,0,0,0,0,0,0,0,0,30,0,52,0,8,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,77,0,0,68,231,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,18
8a9cacdee86407889082dfb3c823486d,0,172,0,0,432,0,109,351,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,55,0,0,42,7,0,0,0,0,0,43,54,0,0,202,0,0,275,0,0,0,0
5db8cc433918a07a31be1357fc6ffb10,475,167,0,0,96,0,64,288,0,137,0,0,211,106,0,0,159,74,197,27,7,0,0,0,0,0,45,0,0,0,0,0,0,72,0,56,182,292,0,0,0,0,0,259,129,35,0,0,84,67,0,0,351,0,14,359,681,74,24,0
71a7032066aed7dc6c07122b7c9ae611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433
7770615c07e39c347214cffa3443493d,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0
5fea5d710a52f9fd72d30bd2d0517d01,0,0,0,0,0,0,140,81,0,0,0,0,0,29,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,53,0,97,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0
74515e0cacbb2fa018ac67a6c3eda66d,0,54,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,21,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
f22ac63e52ff9c87a616ee1432b7c338,25,0,0,0,76,0,0,34,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,27,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,36,0,23,0,0
fc19861627f9165b7ece0a91f0e5b5fe,0,0,0,0,0,0,27,22,0,247,0,0,0,0,0,0,114,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,631,20,0,0,0,0,23,0,143,0,0,0,0,0,0,0,0,154,0,0,128,76,0,4,0
2b22cea644235a2360b74317e21cadfa,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
9ffa3afbf053e89c5c49a7b4990a42de,0,0,0,0,0,0,0,280,0,0,0,0,62,29,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,63,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,13,0,0,0
4398a35d1625fd57da3970f723523e71,0,14,0,0,0,0,0,39,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,19,66,34,0,0,0
25d7cc0f41d5b429582a657ee53f78d7,0,30,0,0,0,0,0,0,0,0,0,0,0,31,0,0,58,0,27,0,0,0,0,0,0,0,254,0,0,0,0,54,0,0,0,0,0,295,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,13
b738ea1d2f31be6cf6de08ca48e07f34,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6fa5ef89699bc33ab0475892d8a28fc1,0,0,0,0,0,0,0,92,0,0,0,0,0,70,0,0,0,0,0,0,101,0,0,0,0,0,54,0,0,0,0,73,0,0,27,0,78,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0
1bd47d34d2bfe30e42cfdc8927c5c5e4,163,120,0,0,174,0,0,0,0,265,0,0,89,79,0,0,226,0,0,116,32,0,0,0,0,0,74,0,0,0,0,0,0,0,0,33,65,0,0,0,0,0,0,252,65,0,0,0,0,88,0,0,176,0,0,295,156,0,0,0
09bb2516f8b82e3f67d32d368eab3da0,86,82,0,0,98,0,0,175,0,0,0,0,0,0,0,0,0,256,70,48,0,0,0,0,0,0,103,0,0,0,0,74,0,0,0,96,321,348,0,0,0,0,29,148,0,5,0,0,32,72,0,0,0,55,0,360,0,0,0,0
a8f4a6e4601e91b7c8f51f2f7439fac3,10,0,0,0,0,0,0,45,0,0,0,0,39,0,0,0,24,3,0,0,0,0,0,0,0,0,50,0,0,0,0,55,0,0,0,18,0,101,0,0,0,0,0,23,0,0,0,29,0,0,0,0,71,0,0,56,65,14,0,0
d813d09bc5d293f0a996804b9e1deee6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,348
6bb51dd885c208ffb6de4afe1ce532f0,0,39,0,0,0,0,0,18,0,0,0,0,34,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,59,0,64,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,0,0,50,46,0,0,0
26f70589864d5684297504921c909051,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0
ac387ff63bec26f232833f2517c8e3bf,34,0,0,0,95,0,0,122,0,3,0,0,72,62,26,0,172,0,39,2,25,0,198,0,0,0,61,0,0,0,0,205,0,227,0,0,111,205,0,0,0,0,0,268,10,0,0,0,136,7,0,0,86,0,48,190,50,0,43,0
11104aa9e179c47b57a39641d12ee21f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0
f4fd97c23141cac50a2d1885967ac870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
