SampleID,CollectionDate,SwabType,Species,SampleType,Specimen,ExtractionKit,ExtractionKitAbb,ExtractionDate,ElutionVolume,elution1conc,dna_amount_ng,elution2con,combinedcon_est
BTQ1,2021-01-12,sea star,Pisaster ochraceus,seastar,1,DNeasy Blood & Tissue + QIAShredder Tubes,Q.BTQ,2021-03-11,100,2.94,294,0.836,1.89
BTQ2,2021-01-12,sea star,Pisaster ochraceus,seastar,2,DNeasy Blood & Tissue + QIAShredder Tubes,Q.BTQ,2021-03-11,100,5.14,514,2.48,3.81
BTQ3,2021-01-12,sea star,Dermasterias imbricata,seastar,3,DNeasy Blood & Tissue + QIAShredder Tubes,Q.BTQ,2021-03-11,100,0.744,74.4,0.333,0.54
BTQ4,2021-01-12,sea star,Pisaster ochraceus,seastar,4,DNeasy Blood & Tissue + QIAShredder Tubes,Q.BTQ,2021-03-11,100,1.56,156,0.609,1.08
BTQ5,2021-01-12,sea star,Pisaster ochraceus,seastar,5,DNeasy Blood & Tissue + QIAShredder Tubes,Q.BTQ,2021-03-11,100,0.755,75.5,0.322,0.54
BTQ6,2021-01-12,sea star,Dermasterias imbricata,seastar,6,DNeasy Blood & Tissue + QIAShredder Tubes,Q.BTQ,2021-03-11,100,0.59,59,0.242,0.42
BTQ7,2021-01-12,sea star,Pisaster ochraceus,seastar,7,DNeasy Blood & Tissue + QIAShredder Tubes,Q.BTQ,2021-03-11,100,0.814,81.4,0.354,0.58
BTQ8,2021-01-12,sea star,Pisaster ochraceus,seastar,8,DNeasy Blood & Tissue + QIAShredder Tubes,Q.BTQ,2021-03-11,100,1.71,171,0.718,1.21
BTQ9,2021-01-12,sea star,Dermasterias imbricata,seastar,9,DNeasy Blood & Tissue + QIAShredder Tubes,Q.BTQ,2021-03-11,100,0.432,43.2,0.185,0.31
BTQ10,2021-01-12,sea star,Pisaster ochraceus,seastar,10,DNeasy Blood & Tissue + QIAShredder Tubes,Q.BTQ,2021-03-11,100,4.01,401,2.44,3.23
BTQ11,2020-10-27,sea star,Pisaster ochraceus,seastar,11,DNeasy Blood & Tissue + QIAShredder Tubes,Q.BTQ,2021-03-11,100,4.05,405,1.89,2.97
BTQ12,NA,extraction neg,Negative,negative,ExNeg,DNeasy Blood & Tissue + QIAShredder Tubes,Q.BTQ,2021-03-11,100,0.05,5,0.05,NA
BT1,2021-01-12,sea star,Pisaster ochraceus,seastar,1,DNeasy Blood & Tissue Kit,Q.BT,2021-01-21,100,1.38,138,1.02,1.2
BT2,2021-01-12,sea star,Pisaster ochraceus,seastar,2,DNeasy Blood & Tissue Kit,Q.BT,2021-01-21,100,1.41,141,1.06,1.24
BT3,2021-01-12,sea star,Dermasterias imbricata,seastar,3,DNeasy Blood & Tissue Kit,Q.BT,2021-01-21,100,0.969,96.9,0.55,0.76
BT4,2021-01-12,sea star,Pisaster ochraceus,seastar,4,DNeasy Blood & Tissue Kit,Q.BT,2021-01-21,100,0.973,97.3,0.558,0.77
BT5,2021-01-12,sea star,Pisaster ochraceus,seastar,5,DNeasy Blood & Tissue Kit,Q.BT,2021-01-21,100,0.361,36.1,0.173,0.27
BT6,2021-01-12,sea star,Dermasterias imbricata,seastar,6,DNeasy Blood & Tissue Kit,Q.BT,2021-01-21,100,0.126,12.6,0,0.06
BT7,2021-01-12,sea star,Pisaster ochraceus,seastar,7,DNeasy Blood & Tissue Kit,Q.BT,2021-01-21,100,0.572,57.2,0.194,0.38
BT8,2021-01-12,sea star,Pisaster ochraceus,seastar,8,DNeasy Blood & Tissue Kit,Q.BT,2021-01-21,100,1.02,102,0.592,0.81
BT9,2021-01-12,sea star,Dermasterias imbricata,seastar,9,DNeasy Blood & Tissue Kit,Q.BT,2021-01-21,100,0.05,5,0.05,NA
