OTUID,Domain,Phylum,Class,Order,Family,Genus,Species
2f0c1794fa7984c87f8e09c64ebee66e,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Planctomicrobium,uncultured_planctomycete
71d6c688a76de4926a96273c2a224c48,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Bythopirellula,uncultured_bacterium
ba701dc64bafd73e1e589d0bdc412f22,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,
d70bd4fa66faf4c165a496e64e842d70,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,uncultured,
4821d1ed04a8731e401707d5681a2082,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella,uncultured_bacterium
ce169508b38481a3f5b4722affbb54a7,Bacteria,Planctomycetota,vadinHA49,vadinHA49,vadinHA49,vadinHA49,uncultured_bacterium
ee0bdca172d19539cadf155ceb56777e,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,
7772ba10d6e69a0673056a9a893a6b8a,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007,uncultured_deep-sea
2a6c2ec831fdd39bfa2c7ee748354f2c,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured_bacterium
f2673a3a04d38fa5c1945a54be3603ae,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
8a9cacdee86407889082dfb3c823486d,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_CC9902,uncultured_cyanobacterium
5db8cc433918a07a31be1357fc6ffb10,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,,
71a7032066aed7dc6c07122b7c9ae611,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,,,
7770615c07e39c347214cffa3443493d,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,,
5fea5d710a52f9fd72d30bd2d0517d01,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured_Sphingobacterium
74515e0cacbb2fa018ac67a6c3eda66d,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,KI89A_clade,KI89A_clade,uncultured_gamma
f22ac63e52ff9c87a616ee1432b7c338,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter,
fc19861627f9165b7ece0a91f0e5b5fe,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Taeseokella,Bacteroidetes_bacterium
2b22cea644235a2360b74317e21cadfa,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Colwellia,
9ffa3afbf053e89c5c49a7b4990a42de,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,
4398a35d1625fd57da3970f723523e71,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,UBA10353_marine_group,UBA10353_marine_group,
25d7cc0f41d5b429582a657ee53f78d7,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,uncultured_bacterium
b738ea1d2f31be6cf6de08ca48e07f34,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Zobellia,Zobellia_sp.
6fa5ef89699bc33ab0475892d8a28fc1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Salinirepens,
1bd47d34d2bfe30e42cfdc8927c5c5e4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,,
09bb2516f8b82e3f67d32d368eab3da0,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Lentimonas,uncultured_bacterium
a8f4a6e4601e91b7c8f51f2f7439fac3,Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,Sva0485,bacterium_enrichment
d813d09bc5d293f0a996804b9e1deee6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,uncultured_Bacteroidetes
6bb51dd885c208ffb6de4afe1ce532f0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,
26f70589864d5684297504921c909051,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,
ac387ff63bec26f232833f2517c8e3bf,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,uncultured_Bacteroidetes/Chlorobi
11104aa9e179c47b57a39641d12ee21f,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
f4fd97c23141cac50a2d1885967ac870,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,uncultured,uncultured,uncultured_forest
3589baa5d27ccd2549baa21de00e9a05,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,uncultured,
8ab5cd5b8b6ab80c843c4ccf0ba69a63,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,
5a6699b420d6c0b6a01e20aa276e8fee,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
227e403bee25898544265fc15b692a40,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfosarcina,uncultured_marine
ed970c1b5bdf62ccd63584e6a71c1fbc,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured_Flammeovirgaceae
9e731bef25e8b2539c63bb8ca2352041,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Colwellia,
d0ddec6ac7ec27d004d8d7b0bce4ec08,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,uncultured,
5825a861a83bf711a29afd1c5bc00077,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,Pseudobacteriovorax,uncultured_delta
0372fe06a2ecadbc000d427e01cbef3c,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,,
7befcb80fea6c4ef50cebfea3ebbac0b,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Eionea,uncultured_Eionea
dfaf05c350e2079de42c57d93d8ec635,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,Psychroserpens_sp.
e66a8d35512c036e64bb87226f718523,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,BD1-7_clade,uncultured_organism
a757260792c8e3af967ca85894eb64e4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,,
d8f5f8c0c80dda3308d0b7a9f0653a23,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,Garritya,Garritya_polymorpha
24f6297fae25ff82075d531958029871,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tateyamaria,uncultured_bacterium
916e045f1bfef8093a4548fd652b8615,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,
6779afff67da93a3dd8bb669818a914f,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,uncultured_bacterium
8b2e80f937203517ca24ce9f9207303f,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Leucothrix,uncultured_bacterium
c7547959b35bc020775f6f7c01cc6c10,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,uncultured,uncultured_delta
9d1f251a336def592e3caf621ec35d75,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
277b9c4dca8c0c7c748427ca229ef530,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,uncultured,uncultured_bacterium
307d1997a0204e489f9c410041b3abdd,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
102deb4af48393620065e04b2fd0f217,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,
4dca2312dfdec7577dd64e4562e9319b,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,
a9305a6e6b5b2a71f1fb35bd2189f016,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Kangiellaceae,Aliikangiella,
1ea5060b3fa47ffd04ab34780efb483f,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b,uncultured_Chloroflexi
799a63834fb8e8bd761eed4175424330,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,uncultured_Bacteroidetes
799658f64cbf845e1dea7b660bccd97d,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,uncultured,
0ae059a6d7a8529fe77fc1d058426e5b,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,uncultured,uncultured_bacterium
6157917316b3fe34147042e49d9217a4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,uncultured_delta
c95ba4fc13b672849445cd8636a8e818,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
18944e34b69be01f22c3a5d4008db5e3,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,uncultured,
84567c0aa0d92999b60b5bd443951020,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,uncultured,uncultured,uncultured_Bacteroidetes
7403edbb16ce9443c07dcdf50edf8c71,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,uncultured,
13d1744bfb4daedf88b4cd0e5aee070d,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,Leeuwenhoekiella_sp.
e82d4720b39b172fa1eb80c6050ec4e0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,
2d8e30d0b142592db5a1a740286b3910,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
e1381cb8d6350a7f7167d59264ecd980,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,
69b9eafe528fbf9777f1467f93fd84ae,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,uncultured,uncultured_bacterium
8801e1d7e497acba73575b1ab2df4478,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,uncultured_bacterium
